                                                                           show_trgm                                                                           |                                                                         show_trgm                                                                         | similarity 
 {a#,ala,ala!,ant,aur,est,lan,r#,ran,res,res!,s,sta,tau,ura,w#,won,won!}                                                                                       | {a#,ala,ala!,any,aqu,est,lan,ong,qur,r#,ran,res,res!,sta,taq,ura,w#,won,won!}                                                                             |   0.736842
 {a#,ale,ale!,ant,c#,can,can!,ert,ina,ler,nti,rto,s,tin}                                                                                                       | {a#,alb,alb!,ant,ber,c#,can,can!,ert,ina,lbe,nti,rto,s,tin}                                                                                               |   0.733333
 {a#,ael,ale,ale!,and,cha,der,exa,hae,ich,lex,m#,mic,mic!,nde,s,xan}                                                                                           | {a#,ael,ald,ald!,and,cha,der,dxa,hae,ich,ldx,m#,mic,mic!,nde,s,xan}                                                                                       |   0.764706
 {a#,aba,ali,ali!,ant,aur,b#,bab,bab!,est,r#,ran,res,res!,sta,tau,ura}                                                                                         | {a#,aba,ali,ali!,ant,aur,b#,bab,bab!,r#,ran,rst,rst!,sta,tau,ura}                                                                                         |   0.823529
 {a#,afd,all,all!,c#,caf,caf!,lly,lyn,s}                                                                                                                       | {a#,afe,all,all!,c#,caf,caf!,lly,lyn,s}                                                                                                                   |        0.9
 {a#,alm,alm!,c#,cub,cub!,de,lma,uba}                                                                                                                          | {a#,alm,alm!,c#,cub,cub!,dd,lma,uba}                                                                                                                      |   0.888889
 {a#,aga,aga!,ant,aur,ave,est,gav,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,ada,ama,ama!,ant,aur,est,mad,r#,ran,res,res!,sta,tau,ura}                                                                                             |   0.733333
 {a#,akb,akb!,ant,aur,bar,est,kba,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,ada,ama,ama!,ant,aur,est,mad,r#,ran,res,res!,sta,tau,ura}                                                                                             |   0.733333
 {a#,amb,amb!,ant,aur,bwr,dia,est,i#,idi,idi!,mbw,r#,ran,res,res!,sta,tau,ura}                                                                                 | {a#,amb,amb!,ant,aur,bar,dia,est,i#,ind,ind!,mba,ndi,r#,ran,res,res!,sta,tau,ura}                                                                         |       0.75
 {a#,aca,aca!,ant,apu,aur,can,cap,est,exi,ica,lco,m#,mex,mex!,pul,r#,ran,res,res!,sta,tau,ulc,ura,xic}                                                         | {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                         |       0.72
 {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                             | {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                         |          1
 {a#,ant,aur,azt,azt!,can,est,exi,ica,m#,mex,mex!,nts,r#,ran,res,res!,sta,tau,tec,ura,xic,zte}                                                                 | {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                         |       0.75
 {aja,ant,aur,b#,baj,baj!,can,est,exi,ica,m#,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                                         | {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                         |   0.708333
 {ant,aur,c#,can,che,che!,eli,est,exi,hel,ica,ino,lin,m#,mex,mex!,nos,r#,ran,res,res!,sta,tau,ura,xic}                                                         | {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                         |       0.72
 {a#,ami,ami!,ast,c#,coa,coa!,e#,eas,eas!,eri,ici,izz,mic,oas,p#,piz,piz!,ria,s,zer,zze}                                                                       | {a#,ami,ami!,ast,c#,coa,coa!,e#,eas,eas!,eri,ici,izx,mic,oas,p#,piz,piz!,ria,s,xer,zxe}                                                                   |   0.863636
 {a#,aga,aga!,ant,aur,ave,est,gav,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,ami,ami!,ant,aur,est,iya,miy,r#,ran,res,res!,sta,tau,ura}                                                                                             |   0.733333
 {a#,akb,akb!,ant,aur,bar,est,kba,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,ami,ami!,ant,aur,est,iya,miy,r#,ran,res,res!,sta,tau,ura}                                                                                             |   0.733333
 {a#,amu,amu!,ane,ant,aur,ese,est,j#,jzp,jzp!,mur,nes,pan,r#,ran,res,res!,sta,tau,ura,zpa}                                                                     | {a#,amu,amu!,ane,ant,aur,ese,est,j#,jpa,jpa!,mur,nes,pan,r#,ran,res,res!,sta,tau,ura}                                                                     |   0.863636
 {a#,anc,anc!,b#,bar,bar!,cho,hor,nch}                                                                                                                         | {a#,anc,anc!,b#,bar,bar!,cho,hor,nch}                                                                                                                     |          1
 {a#,anc,anc!,b#,bar,bar!,cho,est,g#,gri,gri!,hos,hwe,ill,nch,out,ril,s#,sou,sou!,thw,uth,wes}                                                                 | {a#,anc,anc!,b#,bqr,bqr!,cho,g#,gri,gri!,hos,hwe,ilo,lol,nch,olo,out,ril,s#,sou,sou!,thw,uth,wes}                                                         |   0.791667
 {a#,and,and!,ant,aur,din,eta,ina,ndi,r#,ran,ret,ret!,tau,ura}                                                                                                 | {a#,and,and!,aur,din,est,ina,ndi,r#,ran,res,res!,sta,tau,ura}                                                                                             |   0.733333
 {a#,ang,ang!,b#,bis,bis!,ewl,gew,i#,ian,ina,ist,itl,itl!,lia,lin,nge,str,tli,tro,wli}                                                                         | {a#,ali,ang,ang!,b#,bis,bis!,eli,gel,i#,ian,ina,ist,ita,ita!,lia,lin,nge,str,tal,tro}                                                                     |   0.714286
 {a#,ane,ang,ang!,ant,apa,aur,elf,ese,est,fis,gel,ish,j#,jap,jap!,lfi,nes,nge,pan,r#,ran,res,res!,sta,tau,ura}                                                 | {a#,ane,ang,ang!,ant,apa,aur,eli,ese,est,gel,ish,j#,jap,jap!,lis,nes,nge,pan,r#,ran,res,res!,sta,tau,ura}                                                 |   0.888889
 {a#,ang,ang!,arb,b#,bar,bar!,bec,cue,ecu,elo,gel,nge,rbe,s}                                                                                                   | {a#,ang,ang!,arb,b#,bar,bar!,bec,cuy,ecu,elo,gel,nge,rbe,s,uye}                                                                                           |      0.875
 {a#,ahe,ana,ana!,eim,h#,hei,hit,hou,hou!,ite,nah,ous,use,w#,whi,whi!}                                                                                         | {a#,ahe,anm,anm!,eim,h#,hei,hit,hou,hou!,ite,mah,nma,ous,use,w#,whi,whi!}                                                                                 |   0.777778
 {a#,age,age!,ant,aur,end,est,gen,l#,lou,lou!,nda,nge,oun,r#,ran,res,res!,sta,tau,ung,ura}                                                                     | {a#,ant,ant!,aur,est,hon,l#,lou,lou!,nge,nth,ont,oun,r#,ran,res,res!,s,sta,tau,tho,ung,ura}                                                               |    0.73913
 {a#,anb,anb!,ant,aur,bth,est,hon,l#,lou,lou!,nbt,nge,nyu,ony,oun,r#,ran,res,res!,sta,tau,tho,ung,ura}                                                         | {a#,ant,ant!,aur,est,hon,l#,lou,lou!,nge,nth,ont,oun,r#,ran,res,res!,s,sta,tau,tho,ung,ura}                                                               |       0.76
 {a#,anh,anh!,ant,aur,est,hon,hth,l#,lou,lou!,nge,nht,ony,oun,r#,ran,res,res!,s,sta,tau,tho,ung,ura}                                                           | {a#,ant,ant!,aur,est,hon,l#,lou,lou!,nge,nth,ont,oun,r#,ran,res,res!,s,sta,tau,tho,ung,ura}                                                               |        0.8
 {a#,ant,ant!,f#,fis,fis!,g#,gro,gro!,hin,ish,nth,ott,rot,s,thi,tto}                                                                                           | {a#,ant,ant!,f#,fis,fis!,g#,gro,gro!,hon,ish,nth,ony,ott,rot,s,tho,tto}                                                                                   |   0.833333
 {a#,ant,ant!,aur,est,ine,nto,oin,r#,res,res!,rnt,s,sta,tau,toi,urn}                                                                                           | {a#,ant,ant!,aur,est,nto,ome,r#,ran,res,res!,s,sta,tau,tom,ura}                                                                                           |   0.705882
 {a#,ali,and,ant,anz,anz!,auy,din,est,i#,ian,ing,ita,ita!,l#,lan,lan!,lia,ndi,nzi,r#,ran,res,res!,sta,tal,tau,uyr,yra,zio}                                     | {a#,ali,and,ant,anz,anz!,aur,din,est,i#,ian,ing,ita,ita!,l#,lan,lan!,lia,ndi,nzi,r#,ran,res,res!,sta,tal,tau,ura,zio}                                     |        0.9
 {a#,add,ala,ala!,ate,ddi,din,e#,eat,eat!,ery,ins,lad,ter}                                                                                                     | {a#,add,aoa,aoa!,ate,ddi,din,e#,eat,eat!,ery,ins,oad,ter}                                                                                                 |   0.785714
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bor,ebe,egh,g#,ghb,gri,gri!,hbo,hoo,ill,leb,n#,neg,neg!,ood,orh,ple,ppl,rho,ril,s}                                                       |   0.846154
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bor,ebe,egh,g#,ghb,gri,gri!,hbo,hoo,ill,leb,n#,neg,neg!,ood,orh,ple,ppl,rho,ril,s}                                                       |   0.846154
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,oop,opd,orh,ple,ppl,rho,ril,s}                                                   | {a#,app,app!,bee,bor,ebe,egh,g#,ghb,gri,gri!,hbo,hoo,ill,leb,n#,neg,neg!,ood,orh,ple,ppl,rho,ril,s}                                                       |   0.777778
 {a#,app,app!,bee,bor,ebe,g#,ghb,gri,gri!,hbo,hoi,igh,ill,iod,leb,n#,nri,nri!,oio,orh,ple,ppl,rho,rig,ril,s}                                                   | {a#,app,app!,bee,bor,ebe,egh,g#,ghb,gri,gri!,hbo,hoo,ill,leb,n#,neg,neg!,ood,orh,ple,ppl,rho,ril,s}                                                       |   0.740741
 {a#,ant,app,app!,aur,bee,bor,ebe,eig,est,ghb,hbo,hoo,igh,leb,n#,nei,nei!,ood,orh,ple,ppl,r#,ran,res,res!,rho,s,sta,tau,ura}                                   | {a#,ant,app,app!,bee,bhb,bor,dtu,ebe,eib,esd,hbo,hoo,ibh,leb,n#,nei,nei!,ood,orh,ple,ppl,r#,ran,res,res!,rho,s,sdt,tur,ura}                               |   0.774194
 {a#,apl,apl!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ikl,kll,leb,n#,nei,nei!,ood,orh,ple,rho,rik,s}                                                       | {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                   |   0.807692
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                   |          1
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                   |          1
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,oop,opd,orh,ple,ppl,rho,ril,s}                                                   | {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                   |   0.925926
