                                                                           show_trgm                                                                           |                                                                         show_trgm                                                                         | similarity 
 {ast,at,ate,c#,caf,caf!,cat,cat!,che,che!,eri,hef,ing,jm,l#,las,las!,rin,ter}                                                                                 | {ast,at,ate,c#,caf,caf!,cat,cat!,che,che!,eri,hef,ing,jm,l#,las,las!,rin,ter}                                                                             |          1
 {a,afe,c#,caf,caf!,e#,ean,eur,eur!,of,ope,ouc,pea,rop,t#,tou,tou!,uch,uro}                                                                                    | {a,afe,c#,caf,caf!,e#,ean,eur,eur!,of,ope,ouc,pea,rop,t#,tou,tou!,uch,uro}                                                                                |          1
 {a#,ary,ary!,bal,c#,cui,cui!,g#,glo,glo!,ine,isi,lob,oba,rya,sin,uis}                                                                                         | {a#,aty,aty!,bal,c#,cui,cui!,g#,glo,glo!,ine,isi,lob,oba,sin,tya,uis}                                                                                     |   0.823529
 {a#,aug,aug!,b#,bis,bis!,c#,chi,chi!,ese,gus,hin,ine,ist,m#,moo,moo!,nes,oon,str,tro,ugu,ust}                                                                 | {a#,aug,aug!,b#,bis,bis!,c#,chi,chi!,ese,gus,hin,ine,ist,m#,moo,moo!,nes,oon,str,tro,ugu,usy}                                                             |   0.956522
 {a#,ace,ain,ant,ava,ava!,f#,fou,fou!,lac,nta,nti,oun,p#,pla,pla!,tai,unt,van}                                                                                 | {a#,ace,ain,ant,ava,ava!,f#,foi,foi!,iun,lac,nta,nti,oiu,p#,pla,pla!,tai,unt,van}                                                                         |        0.8
 {a#,ant,aur,azt,azt!,can,est,exi,ica,m#,mex,mex!,nts,r#,ran,res,res!,sta,tau,tec,ura,xic,zte}                                                                 | {a#,ant,azt,azt!,can,eca,est,exi,ica,m#,mex,mex!,nts,r#,res,res!,sts,sua,tec,tsu,uan,xic,zte}                                                             |   0.782609
 {a#,and,and!,ant,ati,aur,azu,azu!,b#,bar,bar!,evo,ext,ino,l#,lat,lat!,n#,nue,nue!,r#,ran,rex,rex!,tau,tin,uca,uev,ura,xta,zuc}                                | {a#,and,and!,ant,ati,aur,azu,azu!,b#,bar,bar!,est,evo,ino,l#,lat,lat!,n#,nue,nue!,r#,ran,res,res!,sta,tau,tin,uca,uev,ura,zuc}                            |   0.870968
 {a#,axz,axz!,izz,p#,piz,piz!,rro,urr,xzu,zur,zza}                                                                                                             | {a#,azz,azz!,izz,p#,piz,piz!,rro,urr,zur,zza,zzu}                                                                                                         |       0.75
 {acc,ant,aur,b#,bac,bac!,bar,bar!,cch,chu,est,hus,ine,r#,ran,res,res!,sta,tau,ura,w#,win,win!}                                                                | {acc,ant,aur,b#,bac,bac!,bar,bar!,cch,chu,est,hus,ine,r#,ran,res,res!,sta,tau,ura,w#,win,win!}                                                            |          1
 {ack,ant,aur,b#,bac,bac!,eet,est,r#,ran,ree,res,res!,s#,sta,str,str!,tau,tre,ura}                                                                             | {acf,ant,aur,b#,bac,bac!,cfk,eet,est,r#,ran,ree,res,res!,s#,sta,str,str!,tau,tre,ura}                                                                     |   0.904762
 {aha,ama,b#,bah,bah!,bre,bre!,eez,eze,ham,ree}                                                                                                                | {aha,ama,b#,bah,bah!,bre,bre!,eze,ham,rez}                                                                                                                |   0.818182
 {aja,b#,baj,baj!,can,esh,exi,f#,fre,fre!,g#,gil,gil!,ica,ill,m#,mex,mex!,res,xic}                                                                             | {aja,b#,baj,baj!,can,esh,exi,f#,fre,fre!,g#,gri,gri!,ica,ill,m#,mex,mex!,res,ril,xic}                                                                     |   0.857143
 {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                             | {aja,ant,aur,b#,baj,baj!,can,est,exi,ica,m#,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                                     |   0.708333
 {a#,ant,aur,azt,azt!,can,est,exi,ica,m#,mex,mex!,nts,r#,ran,res,res!,sta,tau,tec,ura,xic,zte}                                                                 | {aja,ant,aur,b#,baj,baj!,can,est,exi,ica,m#,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                                     |    0.73913
 {aja,ant,aur,b#,baj,baj!,can,est,exi,ica,m#,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                                         | {aja,ant,aur,b#,baj,baj!,can,est,exi,ica,m#,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                                     |          1
 {ake,ant,aqu,are,b#,bak,bak!,ers,est,ker,p#,pie,pie!,qua,qur,r#,ran,res,res!,s#,squ,squ!,sta,taq,uar,ura}                                                     | {ake,ant,are,aur,b#,bak,bak!,ers,esg,gau,ker,p#,pie,pie!,qua,r#,ran,res,res!,s#,sga,squ,squ!,uar,ura}                                                     |   0.807692
 {all,asi,b#,bal,bal!,c#,cas,cas!,ega,gas,h#,hot,hot!,ino,l#,las,las!,lly,ote,s,sin,tel,v#,veg,veg!}                                                           | {asi,ba,c#,cas,cas!,d,ega,gas,h#,hot,hot!,ino,l#,las,las!,ly,ote,sin,tel,v#,veg,veg!}                                                                     |       0.76
 {and,ant,aur,b#,ban,ban!,don,dun,esi,est,i#,ian,ind,ind!,ndo,ndu,nes,one,r#,ran,res,res!,sia,sta,tau,ung,ura}                                                 | {and,aur,axn,b#,ban,ban!,doj,dun,esi,est,i#,iax,ind,ind!,jes,ndo,ndu,oje,r#,rat,res,res!,sia,sta,tau,ung,ura}                                             |   0.777778
 {ang,b#,ban,ban!,bay,bay!,c#,cui,cui!,gko,hai,ine,isi,kok,ngk,sin,t#,tha,tha!,uis}                                                                            | {ang,b#,ban,ban!,bay,bay!,c#,cui,cui!,gko,hai,inm,isi,kok,ngk,nme,sin,t#,tha,tha!,uis}                                                                    |   0.904762
 {ang,ant,aur,b#,ban,ban!,e#,ess,est,exp,exp!,gko,hai,kok,ngk,pre,r#,ran,res,res!,sta,t#,tau,tha,tha!,ura,xpr}                                                 | {ang,ant,aur,b#,ban,ban!,e#,ess,est,exp,exp!,gko,hsi,kok,lre,ngk,plr,r#,ran,res,res!,sta,t#,tau,ths,ths!,ura,xpl}                                         |   0.785714
 {ant,ark,aur,b#,bar,bar!,c#,cra,cra!,esw,ing,kin,r#,rab,ran,res,res!,rki,swt,tau,ura,wta}                                                                     | {ant,ark,aur,avv,b#,bar,bar!,c#,cra,cra!,est,ing,kin,r#,ran,rav,res,res!,rki,sta,tau,ura}                                                                 |   0.818182
 {acu,ane,ant,apa,arr,aur,b#,bar,bar!,cud,ese,est,j#,jap,jap!,nes,pan,r#,rac,ran,res,res!,rra,sta,tau,uda,ura}                                                 | {acu,ane,ant,apa,arr,aur,b#,bar,bar!,cud,ese,est,j#,jap,jap!,nes,pan,r#,rac,ran,res,res!,rra,sta,tau,uda,ura}                                             |          1
 {ali,asx,b#,bas,bas!,i#,ita,ita!,lia,sxi,tal}                                                                                                                 | {ali,asi,b#,bas,bas!,i#,ita,ita!,lia,tal}                                                                                                                 |   0.818182
 {ant,asq,aur,ayr,b#,bas,bas!,bqw,bqw!,est,f,nta,que,qwq,r#,ran,res,res!,s#,san,san!,squ,sta,tau,tay,ura,wqu,yra}                                              | {ant,asq,aur,b#,bas,bas!,est,fe,nta,que,r#,ran,res,res!,s#,san,san!,squ,sta,tau,ura}                                                                      |   0.714286
 {ati,axt,b#,bax,bax!,ion,s#,sta,sta!,tat,ter,tio,xte}                                                                                                         | {ati,axt,b#,bax,bax!,ion,s#,sta,sta!,tat,ter,tio,xte}                                                                                                     |          1
 {ant,aur,ayl,b#,bay,bay!,eaf,est,lea,r#,ran,res,res!,sta,tau,ura,yle}                                                                                         | {ant,aur,ayl,b#,bay,bay!,eaf,est,lea,r#,ran,res,res!,sta,tau,ura,yle}                                                                                     |          1
 {art,atr,b#,bea,bea!,ear,eat,g#,gri,gri!,hea,ill,oot,oth,p#,pub,pub!,ril,rto,t#,the,the!,too,tre}                                                             | {art,ate,b#,bea,bea!,ear,eat,g#,gri,gri!,hea,ill,oot,oth,p#,puy,puy!,ril,rto,t#,the,the!,too,uyb}                                                         |   0.833333
 {ant,aur,b#,bel,bel!,ell,est,ist,lla,r#,ran,res,res!,sta,tau,ura,v#,vis,vis!}                                                                                 | {ant,aur,b#,bel,bel!,ell,est,lla,m#,mia,mia!,r#,ran,res,res!,sta,tau,ura}                                                                                 |   0.789474
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,enh,han,hou,j#,jap,jap!,kho,nes,nha,ous,pan,s#,ste,ste!,tea,use}                                                         |       0.76
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,enh,han,hou,j#,jap,jap!,kho,nes,nha,ous,pan,s#,ste,ste!,tea,use}                                                         |   0.740741
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,enh,han,hou,j#,jap,jap!,kho,nes,nha,ous,pan,s#,ste,ste!,tea,use}                                                         |   0.846154
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,enh,han,hou,j#,jap,jap!,kho,nes,nha,ous,pan,s#,ste,ste!,tea,use}                                                         |   0.846154
 {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,enh,han,hou,j#,jap,jap!,kho,nes,nha,ous,pan,s#,ste,ste!,tea,use}                                                         |   0.730769
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.888889
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |       0.75
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.888889
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |       0.75
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.888889
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |       0.75
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.888889
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |          1
 {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |   0.884615
 {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                 |       0.75
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,sea,sea!,use}                                                         | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |       0.88
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,jsw,kho,nes,nih,ouj,pan,s#,ste,ste!,tea,ujs}                                                 | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.851852
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.961538
 {akh,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.961538
 {aky,ana,ane,apa,b#,ben,ben!,eak,eni,ese,han,iha,j#,jap,jap!,kyo,nes,nih,ous,pan,s#,ste,ste!,tea,use,you}                                                     | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.846154
 {akh,ana,ane,apa,b#,ber,ber!,eak,ern,ers,han,hou,iha,j#,jap,jap!,kho,ner,nih,ous,pan,rni,rse,s#,ste,ste!,tea,use}                                             | {akh,ane,apa,b#,ben,ben!,eak,eni,ese,han,hou,iha,j#,jap,jap!,kho,nes,nih,ous,pan,s#,ste,ste!,tea,use}                                                     |   0.714286
 {a#,ail,and,and!,b#,ben,ben!,c#,chp,chp!,enn,ett,hou,hpp,ilh,lho,net,nne,oua,r#,rai,rai!,s}                                                                   | {a#,ail,and,and!,b#,ben,ben!,c#,cho,cho!,enn,ett,hou,ilh,ise,lho,net,nne,oui,r#,rai,rai!,s,uis}                                                           |   0.791667
 {b#,ben,ben!,bow,bow!,c#,chi,chi!,hil,ili,owl,s}                                                                                                              | {b#,ben,ben!,bow,bow!,c#,chi,chi!,hil,ili,owl,s}                                                                                                          |          1
 {27,ant,aur,b#,ben,ben!,ent,est,ley,ntl,on,r#,ran,res,res!,s,sta,tau,tle,ura}                                                                                 | {27,ant,aur,b#,ben,ben!,ent,ley,ntl,on,r#,ran,rws,rws!,sa,sta,tau,tle,ura,wst}                                                                            |        0.8
 {b#,ber,ber!,eak,ern,h#,hou,hou!,ous,s,s#,ste,ste!,tea,use}                                                                                                   | {b#,ber,ber!,eak,ern,h#,hou,hou!,ous,s,s#,ste,ste!,tea,use}                                                                                               |          1
 {ant,aur,b#,ber,ber!,bri,bri!,cci,ert,est,ick,o#,ove,ove!,r#,ran,res,res!,ric,rtu,s,sta,tau,tuc,ucc,ura,ven}                                                  | {ant,aur,b#,ber,ber!,bri,bri!,cci,ert,est,ick,o#,ove,ove!,r#,ran,res,res!,ric,rtu,s,sta,tau,tuc,ucc,ura,ven}                                              |          1
 {a,ant,aur,b#,bes,bes!,d#,die,die!,ego,est,ieg,in,mr,r#,ran,res,res!,rst,rst!,s,s#,san,san!,sta,tau,ura}                                                      | {a,amt,ant,ara,aur,b#,bes,bes!,d#,die,die!,ego,est,ieg,in,mr,r#,ram,ran,res,res!,s,s#,san,san!,sta,tar,tau,ura}                                           |   0.862069
 {b#,bes,bes!,ern,est,esw,g#,gra,gra!,i#,inn,inn!,r#,rad,rio,rio!,ste,swt,ter,w#,wes,wes!}                                                                     | {and,b#,bes,bes!,ern,est,g#,gra,gra!,i#,inn,inn!,nde,r#,ran,rio,rio!,ste,ter,w#,wes,wes!}                                                                 |   0.863636
 {b#,bet,bet!,c,ett,tty}                                                                                                                                       | {b#,bet,bet!,d,ett,tty}                                                                                                                                   |   0.833333
 {ais,auj,b#,bea,bea!,bis,bis!,eau,ist,jol,lai,ola,str,tro,ujo}                                                                                                | {ais,b#,bex,bex!,bis,bis!,exu,ist,jol,lai,ola,str,tro,ujo,xuj}                                                                                            |   0.733333
 {aha,ama,b#,bah,bah!,bre,bre!,eez,eze,ham,ree}                                                                                                                | {ama,b#,bha,bha!,bre,bre!,eez,eze,ham,ree}                                                                                                                |   0.727273
 {alk,ant,aur,b#,big,big!,erw,est,ger,iga,ige,r#,ran,res,res!,rig,rig!,rwa,sta,tau,ura,wal}                                                                    | {alk,ant,aur,b#,big,big!,erw,est,iga,ive,r#,ran,res,res!,riv,riv!,rwa,sta,tau,ura,ver,wal}                                                                |   0.818182
 {ark,b#,big,big!,c#,ckt,ckt!,ed,ket,kty,m#,mar,mar!,rke,s}                                                                                                    | {ark,b#,big,big!,c#,cit,cit!,ed,ity,ket,m#,mar,mar!,rke}                                                                                                  |   0.733333
 {ama,ate,b#,big,big!,c#,cat,cat!,che,eri,hen,ing,itc,k#,kit,kit!,m#,mam,mam!,rin,s,tch,ter}                                                                   | {ama,ate,b#,big,big!,c#,cat,cat!,che,eri,hen,ing,itc,k#,kit,kit!,m#,mam,mam!,rin,s,tch,ter}                                                               |          1
 {aco,b#,big,big!,cos,ruc,t#,tac,tac!,tru,tru!,uck}                                                                                                            | {aco,b#,big,big!,cos,ruc,t#,tac,tac!,tru,tru!,uck}                                                                                                        |          1
 {b#,bij,bij!,g#,gri,gri!,ijo,ill,jou,lle,ril}                                                                                                                 | {b#,bij,bij!,g#,gri,gri!,ijo,ill,jou,lle,ril}                                                                                                             |          1
 {ant,aur,b#,bar,bar!,bij,bij!,est,gau,ijo,jou,r#,ran,res,res!,stg,tga,ura}                                                                                    | {ant,aur,b#,bar,bar!,bij,bij!,est,ijo,jou,r#,ran,res,res!,sta,tau,ura}                                                                                    |   0.833333
 {all,alo,amb,b#,bil,bil!,bli,g#,gam,gam!,h#,hal,hal!,ill,lin,lol,mbl,oln,s,s#,sal,sal!}                                                                       | {all,alo,amb,b#,bil,bil!,bli,g#,gam,gam!,h#,hal,hal!,ill,lin,loo,mbl,oon,s,s#,sal,sal!}                                                                   |   0.909091
 {ave,b#,bil,bil!,ern,g#,goa,goa!,ill,lly,oat,t#,tav,tav!,ver}                                                                                                 | {avf,b#,bil,bil!,ewr,few,g#,goa,goa!,ill,lly,oat,t#,tav,tav!,vfe,wrn}                                                                                     |   0.705882
 {36,b#,bin,bin!}                                                                                                                                              | {36,b#,bin,bin!}                                                                                                                                          |          1
 {a#,aix,aix!,b#,bis,bis!,ist,rfo,str,trf}                                                                                                                     | {a#,aix,aix!,b#,bis,bis!,ist,ixc,str,tro}                                                                                                                 |        0.8
 {ant,aur,b#,bis,bis!,bou,bou!,din,est,ist,oud,r#,ran,res,res!,sta,str,tau,tro,udi,ura}                                                                        | {ant,aur,b#,bis,bis!,bop,bop!,est,ist,opu,pui,r#,ran,res,res!,sta,str,tau,tro,uin,ura}                                                                    |   0.761905
 {b#,bis,bis!,byr,byr!,ist,onz,ron,str,tro,yro}                                                                                                                | {b#,bis,bis!,byr,byr!,ist,onz,ron,str,tro,yro}                                                                                                            |          1
 {b#,bis,bis!,e#,ela,ela!,ist,lan,rfo,str,trf}                                                                                                                 | {b#,bis,bis!,e#,ela,ela!,ist,lan,str,tro}                                                                                                                 |   0.818182
 {ant,aur,b#,bis,bis!,est,g#,gin,gin!,ina,ino,ist,lin,nol,oli,r#,ran,res,res!,sta,str,tau,tro,ura}                                                             | {aht,aur,b#,bis,bis!,est,g#,gij,gij!,ijo,ina,ist,jol,lin,oli,r#,rah,res,res!,sta,str,tau,tro,ura}                                                         |       0.75
 {ama,aur,azn,b#,bit,bit!,est,itz,m#,mam,mam!,mts,nmt,r#,raz,res,res!,s,sta,tau,tze,ura,zee,znm}                                                               | {ama,ant,aur,b#,bit,bit!,est,itz,m#,mam,mam!,nts,r#,ran,res,res!,s,sta,tau,tze,ura,zee}                                                                   |   0.791667
 {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 {aur,b#,biw,biw!,est,iwa,qnt,r#,res,res!,rqn,sta,tau,urq}                                                                                                     | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.785714
 {ant,aur,b,est,r#,ran,res,res!,sta,tau,ura}                                                                                                                   | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 {ant,aur,c#,cib,cib!,est,ibo,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 {ant,aur,c#,col,col!,est,ole,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {ant,aur,b#,biw,biw!,est,iwa,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
